"","log2FoldChange","padj","Factor"
"ko:K00024",-0.891161652197247,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.669767775003884,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.229860133495714,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00134",1.51815382545108,0.703742850177776,"Menthol_Menthol_vs_Control"
"ko:K00140",0.149755190031406,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00207",0.342359659516023,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.147241878956337,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00249",0.252830681791378,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K00262",0.0499474416110209,0.976792567337065,"Menthol_Menthol_vs_Control"
"ko:K00331",0.730531753080191,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.908278893934399,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K00338",0.449532416945843,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00357",0.503018399554051,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00411",0.102128336589319,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00413",0.579106363845188,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.581111847714778,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00469",0.158300071806399,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00500",0.185950282931135,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.73712408628401,0.35165808172198,"Menthol_Menthol_vs_Control"
"ko:K00544",-0.840433347888437,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.58788993631278,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00643",0.288859072687005,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.730139030685029,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.358334686304423,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00819",0.714456229779544,0.253400637130568,"Menthol_Menthol_vs_Control"
"ko:K00856",-0.14262399110752,0.945890796337867,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.102224849564778,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.229631303896663,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K00940",0.114336892212419,0.948559115760283,"Menthol_Menthol_vs_Control"
"ko:K00967",0.349214635055994,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K01070",-1.3613885426278,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01206",0.00649849815686778,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K01251",1.29775361135833,0.14714128010283,"Menthol_Menthol_vs_Control"
"ko:K01363",0.268732625655151,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0451952597048394,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01379",0.265816957062636,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.0230224669673263,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K01596",0.76071702825355,0.0954853228558867,"Menthol_Menthol_vs_Control"
"ko:K01623",-1.03621579602399,0.187281047173936,"Menthol_Menthol_vs_Control"
"ko:K01681",-0.211924083862112,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01689",0.845888459199136,0.331380503518244,"Menthol_Menthol_vs_Control"
"ko:K01697",0.190870440150383,0.948559115760283,"Menthol_Menthol_vs_Control"
